ID_Transacao,Data_Lancamento,Data_Prevista,Data_Liquidacao,Valor_Previsto,Valor_Realizado,Status,Tipo_Lancamento,ID_Conta,ID_Fornecedor,Descricao,Canal,Saldo,Dias_em_Aberto,Dias_Divergencia,Faixa_Aging,Faixa_Aging_Div,Criticidade,Criticidade_Div,Ordem_Aging,Ordem_Aging_Div
TRX-00292,2024-02-25,2024-03-09,2024-03-09,23140.70,23140.70,Conciliado,Pagamento,CT-002,FN-008,Ref. NF-8091,Boleto,0.00,,,,,,,,
TRX-02372,2024-09-23,2024-10-03,2024-10-03,32637.33,32637.33,Conciliado,Estorno,CT-008,FN-008,Ref. NF-5677,Ted,0.00,,,,,,,,
TRX-01412,2024-04-23,2024-05-04,2024-05-06,18279.12,18279.12,Conciliado,Estorno,CT-003,FN-009,Ref. NF-2157,Boleto,0.00,,,,,,,,
TRX-01298,2025-01-10,2025-01-17,2025-01-19,12195.47,12195.47,Conciliado,Estorno,CT-002,FN-005,Ref. NF-5006,Boleto,0.00,,,,,,,,
TRX-01263,2024-04-29,2024-05-12,2024-05-15,42479.77,42479.77,Conciliado,Pagamento,CT-004,FN-002,Ref. NF-8366,Boleto,0.00,,,,,,,,
TRX-00445,2024-11-08,2024-11-23,2024-11-24,40214.66,40214.66,Conciliado,Pagamento,CT-005,FN-005,Ref. NF-4193,Ted,0.00,,,,,,,,
TRX-00091,2025-03-20,2025-04-04,2025-04-05,5628.23,5628.23,Conciliado,Pagamento,CT-005,FN-006,Ref. NF-7022,Pix,0.00,,,,,,,,
TRX-01991,2024-09-29,2024-10-04,2024-10-05,3031.26,3031.26,Conciliado,Recebimento,CT-003,FN-001,Ref. NF-8320,Boleto,0.00,,,,,,,,
TRX-00414,2025-03-02,2025-03-05,2025-03-06,45850.07,45850.07,Conciliado,Pagamento,CT-006,FN-008,Ref. NF-9797,Ted,0.00,,,,,,,,
TRX-02394,2024-02-27,2024-03-02,2024-03-02,13985.33,13985.33,Conciliado,Pagamento,CT-001,FN-004,Ref. NF-9507,Ted,0.00,,,,,,,,
TRX-00304,2024-06-27,2024-07-01,2024-07-01,15031.93,15031.93,Conciliado,Pagamento,CT-006,FN-006,Ref. NF-4937,Ted,0.00,,,,,,,,
TRX-01796,2024-07-24,2024-07-29,2024-08-01,1712.82,1712.82,Conciliado,Estorno,CT-005,FN-007,Ref. NF-7337,Débito,0.00,,,,,,,,
TRX-00983,2024-10-03,2024-10-13,2024-10-16,47973.31,47973.31,Conciliado,Pagamento,CT-005,FN-001,Ref. NF-3230,Boleto,0.00,,,,,,,,
TRX-01296,2025-01-08,2025-01-10,2025-01-11,48037.35,48037.35,Conciliado,Pagamento,CT-003,FN-008,Ref. NF-4559,Boleto,0.00,,,,,,,,
TRX-01815,2024-10-30,2024-11-13,2024-11-13,7109.12,7109.12,Conciliado,Recebimento,CT-003,FN-004,Ref. NF-1441,Pix,0.00,,,,,,,,
TRX-01628,2024-04-29,2024-05-04,2024-05-06,43784.36,43784.36,Conciliado,Pagamento,CT-005,FN-009,Ref. NF-1380,Ted,0.00,,,,,,,,
TRX-00731,2024-09-26,2024-10-06,2024-10-09,641.87,641.87,Conciliado,Pagamento,CT-004,FN-006,Ref. NF-1976,Ted,0.00,,,,,,,,
TRX-00199,2024-04-05,2024-04-11,2024-04-14,47616.18,47616.18,Conciliado,Estorno,CT-001,FN-006,Ref. NF-8272,Débito,0.00,,,,,,,,
TRX-01694,2025-03-21,2025-03-24,2025-03-25,35804.80,35804.80,Conciliado,Pagamento,CT-004,FN-009,Ref. NF-7941,Boleto,0.00,,,,,,,,
TRX-01062,2024-12-27,2025-01-04,2025-01-06,47195.23,47195.23,Conciliado,Pagamento,CT-004,FN-009,Ref. NF-6089,Ted,0.00,,,,,,,,
TRX-02122,2024-01-18,2024-01-23,,27900.66,,Pendente,Pagamento,CT-004,FN-005,Ref. NF-4965,Pix,27900.66,494,,+360 dias,,Máximo,,7,
TRX-01807,2024-10-20,2024-10-26,2024-10-26,44469.42,44469.42,Conciliado,Pagamento,CT-005,FN-001,Ref. NF-1017,Débito,0.00,,,,,,,,
TRX-02877,2024-02-26,2024-03-05,,4978.60,,Pendente,Pagamento,CT-002,FN-010,Ref. NF-1278,Boleto,4978.60,452,,+360 dias,,Máximo,,7,
TRX-02815,2024-08-04,2024-08-09,,38039.93,,Pendente,Pagamento,CT-008,FN-008,Ref. NF-1068,Boleto,38039.93,295,,181 a 360 dias,,Muito Crítico,,6,
TRX-01204,2024-03-19,2024-03-31,2024-04-03,877.33,877.33,Conciliado,Pagamento,CT-008,FN-007,Ref. NF-4469,Pix,0.00,,,,,,,,
TRX-02482,2025-04-09,2025-04-11,2025-04-11,21530.18,21530.18,Conciliado,Pagamento,CT-004,FN-005,Ref. NF-6446,Ted,0.00,,,,,,,,
TRX-00395,2025-01-26,2025-02-01,2025-02-03,37407.68,37407.68,Conciliado,Recebimento,CT-005,FN-008,Ref. NF-3155,Boleto,0.00,,,,,,,,
TRX-01441,2025-02-18,2025-03-02,2025-03-04,42492.80,42492.80,Conciliado,Pagamento,CT-002,FN-006,Ref. NF-7396,Ted,0.00,,,,,,,,
TRX-00928,2024-07-15,2024-07-25,2024-07-25,32002.64,32002.64,Conciliado,Recebimento,CT-007,FN-004,Ref. NF-1374,Boleto,0.00,,,,,,,,
TRX-01709,2024-12-06,2024-12-10,2024-12-13,27625.69,27625.69,Conciliado,Recebimento,CT-008,FN-002,Ref. NF-5607,Pix,0.00,,,,,,,,
TRX-02796,2025-03-07,2025-03-22,2025-03-25,26715.16,26715.16,Conciliado,Pagamento,CT-005,FN-005,Ref. NF-6121,Ted,0.00,,,,,,,,
TRX-01976,2024-10-18,2024-10-30,2024-10-30,47505.32,47505.32,Conciliado,Recebimento,CT-007,FN-002,Ref. NF-4962,Ted,0.00,,,,,,,,
TRX-00773,2024-04-12,2024-04-22,2024-04-25,8778.83,8778.83,Conciliado,Pagamento,CT-002,FN-008,Ref. NF-9691,Boleto,0.00,,,,,,,,
TRX-01000,2024-09-10,2024-09-14,2024-09-14,32570.81,32570.81,Conciliado,Pagamento,CT-004,FN-008,Ref. NF-8191,Ted,0.00,,,,,,,,
TRX-01909,2024-04-23,2024-05-04,2024-05-06,14910.27,14910.27,Conciliado,Estorno,CT-006,FN-010,Ref. NF-3282,Pix,0.00,,,,,,,,
TRX-01404,2024-06-29,2024-07-01,2024-07-03,28446.27,28446.27,Conciliado,Recebimento,CT-003,FN-004,Ref. NF-1696,Boleto,0.00,,,,,,,,
TRX-01663,2025-04-16,2025-04-20,2025-04-20,44411.15,44411.15,Conciliado,Recebimento,CT-004,FN-008,Ref. NF-4026,Pix,0.00,,,,,,,,
TRX-02248,2024-03-21,2024-03-27,2024-03-29,15935.05,15935.05,Conciliado,Recebimento,CT-001,FN-005,Ref. NF-7330,Pix,0.00,,,,,,,,
TRX-02785,2024-06-20,2024-07-03,,19161.68,,Pendente,Pagamento,CT-008,FN-003,Ref. NF-3338,Boleto,19161.68,332,,181 a 360 dias,,Muito Crítico,,6,
TRX-02574,2024-05-04,2024-05-12,2024-05-12,27395.49,27395.49,Conciliado,Pagamento,CT-001,FN-004,Ref. NF-9654,Pix,0.00,,,,,,,,
TRX-02467,2024-12-29,2025-01-07,2025-01-08,39497.53,39497.53,Conciliado,Estorno,CT-001,FN-001,Ref. NF-9909,Pix,0.00,,,,,,,,
TRX-00020,2024-01-30,2024-02-08,2024-02-09,3864.06,3864.06,Conciliado,Pagamento,CT-002,FN-010,Ref. NF-2343,Pix,0.00,,,,,,,,
TRX-02218,2024-07-09,2024-07-23,2024-07-23,12012.23,12012.23,Conciliado,Pagamento,CT-003,FN-006,Ref. NF-6656,Boleto,0.00,,,,,,,,
TRX-00017,2024-05-07,2024-05-21,2024-05-22,32781.17,32781.17,Conciliado,Recebimento,CT-002,FN-001,Ref. NF-4502,Pix,0.00,,,,,,,,
TRX-02707,2024-08-31,2024-09-07,2024-09-09,35669.36,35669.36,Conciliado,Recebimento,CT-007,FN-005,Ref. NF-7006,Pix,0.00,,,,,,,,
TRX-02349,2025-04-04,2025-04-13,2025-04-14,4280.52,4280.52,Conciliado,Pagamento,CT-004,FN-003,Ref. NF-4253,Débito,0.00,,,,,,,,
TRX-02484,2024-10-19,2024-10-30,2024-10-30,30615.24,30615.24,Conciliado,Recebimento,CT-005,FN-003,Ref. NF-8259,Pix,0.00,,,,,,,,
TRX-02244,2024-06-02,2024-06-08,2024-06-11,45713.29,45713.29,Conciliado,Pagamento,CT-002,FN-002,Ref. NF-5318,Pix,0.00,,,,,,,,
TRX-00042,2024-05-13,2024-05-20,2024-05-22,17206.28,17206.28,Conciliado,Pagamento,CT-008,FN-006,Ref. NF-9837,Boleto,0.00,,,,,,,,
TRX-02510,2024-10-11,2024-10-19,2024-10-22,13164.00,13164.00,Conciliado,Recebimento,CT-008,FN-008,Ref. NF-6787,Ted,0.00,,,,,,,,
TRX-02032,2024-08-01,2024-08-07,2024-08-09,21917.09,21917.09,Conciliado,Pagamento,CT-002,FN-001,Ref. NF-7683,Débito,0.00,,,,,,,,
TRX-00607,2024-08-20,2024-08-29,2024-08-30,5583.14,5583.14,Conciliado,Estorno,CT-004,FN-002,Ref. NF-7897,Boleto,0.00,,,,,,,,
TRX-00924,2024-12-11,2024-12-19,2024-12-22,17905.51,16614.55,Divergente,Pagamento,CT-003,FN-010,Ref. NF-9807,Pix,1290.96,,160,,121 a 180 dias,,Crítico,,5
TRX-02518,2025-01-12,2025-01-26,2025-01-26,4125.95,4125.95,Conciliado,Pagamento,CT-005,FN-003,Ref. NF-4169,Débito,0.00,,,,,,,,
TRX-01316,2024-03-26,2024-04-05,2024-04-06,21596.84,21596.84,Conciliado,Recebimento,CT-002,FN-007,Ref. NF-2753,Pix,0.00,,,,,,,,
TRX-02125,2024-11-15,2024-11-25,2024-11-26,41140.08,41140.08,Conciliado,Pagamento,CT-003,FN-009,Ref. NF-1697,Pix,0.00,,,,,,,,
TRX-02652,2024-10-30,2024-11-10,2024-11-11,49905.41,49905.41,Conciliado,Estorno,CT-003,FN-008,Ref. NF-4035,Ted,0.00,,,,,,,,
TRX-01736,2024-12-29,2025-01-06,2025-01-08,45860.04,45860.04,Conciliado,Estorno,CT-003,FN-006,Ref. NF-5120,Débito,0.00,,,,,,,,
TRX-01910,2024-09-25,2024-10-02,2024-10-02,45626.60,45626.60,Conciliado,Pagamento,CT-005,FN-001,Ref. NF-5841,Ted,0.00,,,,,,,,
TRX-02179,2024-10-03,2024-10-18,2024-10-19,11975.50,11975.50,Conciliado,Pagamento,CT-004,FN-003,Ref. NF-4764,Pix,0.00,,,,,,,,
TRX-00049,2024-06-23,2024-06-28,2024-06-29,47429.10,47429.10,Conciliado,Estorno,CT-001,FN-009,Ref. NF-9041,Ted,0.00,,,,,,,,
TRX-02220,2024-09-11,2024-09-13,2024-09-16,47960.23,47960.23,Conciliado,Recebimento,CT-004,FN-003,Ref. NF-8054,Boleto,0.00,,,,,,,,
TRX-00339,2024-10-15,2024-10-23,2024-10-23,44877.93,44877.93,Conciliado,Pagamento,CT-008,FN-008,Ref. NF-4610,Ted,0.00,,,,,,,,
TRX-01860,2024-03-05,2024-03-09,2024-03-10,38739.50,38739.50,Conciliado,Pagamento,CT-007,FN-005,Ref. NF-8035,Ted,0.00,,,,,,,,
TRX-02168,2024-04-16,2024-04-20,,37924.68,,Pendente,Recebimento,CT-005,FN-002,Ref. NF-8136,Débito,37924.68,406,,+360 dias,,Máximo,,7,
TRX-00061,2024-06-27,2024-07-04,2024-07-04,16825.28,16825.28,Conciliado,Pagamento,CT-002,FN-003,Ref. NF-6296,Boleto,0.00,,,,,,,,
TRX-00242,2024-04-24,2024-05-05,2024-05-10,6803.74,5814.02,Divergente,Recebimento,CT-005,FN-005,Ref. NF-4619,Pix,989.72,,386,,+360 dias,,Máximo,,7
TRX-01110,2024-05-06,2024-05-17,2024-05-20,20616.38,20616.38,Conciliado,Pagamento,CT-004,FN-005,Ref. NF-7122,Boleto,0.00,,,,,,,,
TRX-01545,2025-02-23,2025-03-10,2025-03-12,19202.58,19202.58,Conciliado,Pagamento,CT-005,FN-001,Ref. NF-8826,Boleto,0.00,,,,,,,,
TRX-02374,2024-09-12,2024-09-24,2024-09-26,31368.18,31368.18,Conciliado,Pagamento,CT-003,FN-003,Ref. NF-8171,Ted,0.00,,,,,,,,
TRX-00424,2024-11-11,2024-11-17,2024-11-18,4388.01,4388.01,Conciliado,Pagamento,CT-004,FN-009,Ref. NF-8672,Ted,0.00,,,,,,,,
TRX-01480,2024-05-06,2024-05-11,2024-05-11,15715.88,15715.88,Conciliado,Pagamento,CT-005,FN-004,Ref. NF-5007,Boleto,0.00,,,,,,,,
TRX-02161,2025-04-17,2025-04-21,2025-04-24,36566.96,36566.96,Conciliado,Estorno,CT-004,FN-007,Ref. NF-2852,Pix,0.00,,,,,,,,
TRX-02556,2025-02-28,2025-03-02,2025-03-05,7694.31,7694.31,Conciliado,Pagamento,CT-003,FN-008,Ref. NF-6816,Boleto,0.00,,,,,,,,
TRX-01043,2025-04-21,2025-04-29,,47356.90,,Pendente,Recebimento,CT-001,FN-008,Ref. NF-2128,Pix,47356.90,32,,31 a 60 dias,,Atenção,,2,
TRX-00764,2024-01-14,2024-01-21,2024-01-22,31095.93,29663.26,Divergente,Estorno,CT-003,FN-001,Ref. NF-6867,Pix,1432.67,,495,,+360 dias,,Máximo,,7
TRX-02969,2024-01-27,2024-02-08,2024-02-09,38552.19,38552.19,Conciliado,Pagamento,CT-001,FN-008,Ref. NF-6409,Boleto,0.00,,,,,,,,
TRX-02980,2024-12-25,2025-01-04,2025-01-07,8159.08,8159.08,Conciliado,Pagamento,CT-002,FN-003,Ref. NF-6291,Débito,0.00,,,,,,,,
TRX-02016,2024-12-02,2024-12-11,2024-12-11,2060.55,2060.55,Conciliado,Pagamento,CT-004,FN-003,Ref. NF-9568,Pix,0.00,,,,,,,,
TRX-01624,2024-08-30,2024-09-07,2024-09-12,18399.48,16420.86,Divergente,Pagamento,CT-001,FN-004,Ref. NF-3385,Pix,1978.62,,261,,181 a 360 dias,,Muito Crítico,,6
TRX-01401,2025-03-22,2025-04-06,2025-04-09,43171.19,43171.19,Conciliado,Recebimento,CT-001,FN-007,Ref. NF-4588,Pix,0.00,,,,,,,,
TRX-00683,2024-04-02,2024-04-16,2024-04-16,6590.74,6590.74,Conciliado,Pagamento,CT-008,FN-006,Ref. NF-1573,Pix,0.00,,,,,,,,
TRX-02903,2025-03-31,2025-04-15,2025-04-16,25570.16,25570.16,Conciliado,Recebimento,CT-004,FN-009,Ref. NF-5637,Pix,0.00,,,,,,,,
TRX-01285,2024-10-12,2024-10-25,2024-10-28,43269.70,43269.70,Conciliado,Recebimento,CT-001,FN-006,Ref. NF-3264,Boleto,0.00,,,,,,,,
TRX-00870,2024-11-19,2024-12-02,2024-12-04,40743.29,40743.29,Conciliado,Pagamento,CT-005,FN-002,Ref. NF-9265,Ted,0.00,,,,,,,,
TRX-00793,2025-03-27,2025-03-29,2025-03-29,29366.36,29366.36,Conciliado,Pagamento,CT-006,FN-008,Ref. NF-5762,Pix,0.00,,,,,,,,
TRX-01370,2024-08-13,2024-08-21,2024-08-23,17594.35,17594.35,Conciliado,Pagamento,CT-002,FN-007,Ref. NF-9711,Débito,0.00,,,,,,,,
TRX-00387,2024-08-18,2024-08-26,2024-08-29,10987.83,10987.83,Conciliado,Pagamento,CT-004,FN-009,Ref. NF-1301,Pix,0.00,,,,,,,,
TRX-01672,2024-02-04,2024-02-05,2024-02-06,42748.60,42748.60,Conciliado,Pagamento,CT-006,FN-006,Ref. NF-1547,Pix,0.00,,,,,,,,
TRX-00901,2024-12-03,2024-12-13,2024-12-15,43531.79,43531.79,Conciliado,Pagamento,CT-002,FN-006,Ref. NF-6865,Pix,0.00,,,,,,,,
TRX-01504,2024-08-20,2024-09-03,2024-09-03,39997.92,39997.92,Conciliado,Recebimento,CT-005,FN-001,Ref. NF-5125,Pix,0.00,,,,,,,,
TRX-01486,2024-10-17,2024-10-18,2024-10-20,7249.84,7249.84,Conciliado,Pagamento,CT-006,FN-002,Ref. NF-9663,Pix,0.00,,,,,,,,
TRX-02432,2024-10-19,2024-11-03,2024-11-06,13930.34,13930.34,Conciliado,Pagamento,CT-005,FN-009,Ref. NF-7707,Débito,0.00,,,,,,,,
TRX-00770,2025-03-19,2025-03-25,2025-03-27,7358.97,7358.97,Conciliado,Pagamento,CT-001,FN-006,Ref. NF-2506,Pix,0.00,,,,,,,,
TRX-01542,2024-07-17,2024-07-22,2024-07-25,9983.30,9983.30,Conciliado,Estorno,CT-005,FN-010,Ref. NF-8861,Pix,0.00,,,,,,,,
TRX-00316,2024-05-21,2024-06-04,2024-06-04,23410.99,23410.99,Conciliado,Pagamento,CT-006,FN-008,Ref. NF-5597,Boleto,0.00,,,,,,,,
TRX-01766,2024-10-21,2024-11-01,2024-11-03,31352.41,31352.41,Conciliado,Recebimento,CT-001,FN-001,Ref. NF-5837,Pix,0.00,,,,,,,,
TRX-01539,2024-09-23,2024-09-25,,16829.06,,Pendente,Pagamento,CT-004,FN-001,Ref. NF-8761,Ted,16829.06,248,,181 a 360 dias,,Muito Crítico,,6,
TRX-01564,2024-04-06,2024-04-17,2024-04-19,46348.40,46348.40,Conciliado,Pagamento,CT-008,FN-001,Ref. NF-4376,Débito,0.00,,,,,,,,
TRX-01782,2025-03-17,2025-03-19,2025-03-23,44886.61,41725.48,Divergente,Pagamento,CT-006,FN-003,Ref. NF-4623,Boleto,3161.13,,69,,61 a 90 dias,,Elevado,,3
TRX-00964,2024-06-16,2024-06-30,2024-07-02,15495.01,15495.01,Conciliado,Pagamento,CT-004,FN-004,Ref. NF-8203,Boleto,0.00,,,,,,,,
TRX-01537,2024-05-28,2024-06-03,2024-06-03,40407.08,40407.08,Conciliado,Estorno,CT-003,FN-009,Ref. NF-3687,Pix,0.00,,,,,,,,
TRX-01007,2025-03-17,2025-03-18,2025-03-19,30885.60,30885.60,Conciliado,Pagamento,CT-002,FN-002,Ref. NF-3938,Pix,0.00,,,,,,,,
TRX-00726,2024-12-17,2025-01-01,2025-01-03,11613.86,11613.86,Conciliado,Recebimento,CT-003,FN-002,Ref. NF-2389,Pix,0.00,,,,,,,,
TRX-00302,2024-10-26,2024-11-09,2024-11-09,35629.62,35629.62,Conciliado,Pagamento,CT-006,FN-008,Ref. NF-5934,Ted,0.00,,,,,,,,
TRX-02490,2024-03-08,2024-03-12,2024-03-15,14039.06,14039.06,Conciliado,Pagamento,CT-006,FN-003,Ref. NF-6259,Pix,0.00,,,,,,,,
TRX-01279,2024-01-09,2024-01-19,2024-01-19,11598.23,11598.23,Conciliado,Recebimento,CT-005,FN-005,Ref. NF-8884,Boleto,0.00,,,,,,,,
TRX-02933,2024-09-20,2024-10-03,,15924.02,,Pendente,Pagamento,CT-004,FN-007,Ref. NF-9185,Pix,15924.02,240,,181 a 360 dias,,Muito Crítico,,6,
TRX-00516,2024-08-23,2024-09-03,2024-09-06,1509.91,1509.91,Conciliado,Estorno,CT-007,FN-005,Ref. NF-2601,Boleto,0.00,,,,,,,,
TRX-00645,2024-04-29,2024-04-30,2024-05-03,37983.66,37983.66,Conciliado,Pagamento,CT-004,FN-007,Ref. NF-4348,Pix,0.00,,,,,,,,
TRX-02954,2024-01-03,2024-01-08,2024-01-10,6289.85,6289.85,Conciliado,Estorno,CT-004,FN-006,Ref. NF-3169,Ted,0.00,,,,,,,,
TRX-01507,2025-04-10,2025-04-14,2025-04-16,48820.02,48820.02,Conciliado,Estorno,CT-004,FN-004,Ref. NF-9332,Pix,0.00,,,,,,,,
TRX-01140,2024-08-25,2024-08-28,2024-08-30,44903.42,44903.42,Conciliado,Pagamento,CT-004,FN-003,Ref. NF-8100,Boleto,0.00,,,,,,,,
TRX-01710,2025-02-01,2025-02-03,2025-02-03,32528.61,32528.61,Conciliado,Estorno,CT-008,FN-009,Ref. NF-7794,Pix,0.00,,,,,,,,
TRX-01172,2025-02-02,2025-02-15,,17207.73,,Pendente,Pagamento,CT-002,FN-008,Ref. NF-3000,Ted,17207.73,105,,91 a 120 dias,,Alto,,4,
TRX-01256,2024-05-14,2024-05-16,2024-05-19,11989.60,11391.18,Divergente,Pagamento,CT-004,FN-008,Ref. NF-7575,Ted,598.42,,377,,+360 dias,,Máximo,,7
TRX-00551,2024-09-19,2024-09-25,2024-09-28,26600.30,26600.30,Conciliado,Pagamento,CT-003,FN-008,Ref. NF-5921,Débito,0.00,,,,,,,,
TRX-02487,2024-03-07,2024-03-17,2024-03-20,38048.47,38048.47,Conciliado,Recebimento,CT-002,FN-002,Ref. NF-6053,Débito,0.00,,,,,,,,
TRX-00023,2024-08-12,2024-08-26,2024-08-29,15319.25,13268.92,Divergente,Pagamento,CT-001,FN-009,Ref. NF-5462,Débito,2050.33,,275,,181 a 360 dias,,Muito Crítico,,6
TRX-01573,2025-02-12,2025-02-22,2025-02-22,16426.98,16426.98,Conciliado,Pagamento,CT-006,FN-009,Ref. NF-8378,Pix,0.00,,,,,,,,
TRX-02575,2024-06-01,2024-06-06,2024-06-07,38759.78,38759.78,Conciliado,Estorno,CT-002,FN-007,Ref. NF-5898,Débito,0.00,,,,,,,,
TRX-02186,2024-10-30,2024-11-12,2024-11-14,26461.93,25554.06,Divergente,Estorno,CT-008,FN-010,Ref. NF-3580,Pix,907.87,,198,,181 a 360 dias,,Muito Crítico,,6
TRX-01199,2024-04-21,2024-04-27,2024-04-29,45951.07,39659.80,Divergente,Pagamento,CT-005,FN-001,Ref. NF-2532,Pix,6291.27,,397,,+360 dias,,Máximo,,7
TRX-00529,2025-03-06,2025-03-18,2025-03-18,19542.17,19542.17,Conciliado,Pagamento,CT-005,FN-009,Ref. NF-8248,Pix,0.00,,,,,,,,
TRX-00975,2024-04-25,2024-05-06,2024-05-08,44402.44,44402.44,Conciliado,Pagamento,CT-007,FN-005,Ref. NF-9518,Pix,0.00,,,,,,,,
TRX-02292,2025-01-27,2025-02-06,2025-02-09,6036.93,6036.93,Conciliado,Estorno,CT-001,FN-010,Ref. NF-7316,Pix,0.00,,,,,,,,
TRX-00146,2024-06-11,2024-06-19,2024-06-21,6532.77,6532.77,Conciliado,Estorno,CT-005,FN-005,Ref. NF-5758,Boleto,0.00,,,,,,,,
TRX-00114,2024-07-10,2024-07-14,2024-07-15,39673.34,39673.34,Conciliado,Pagamento,CT-002,FN-006,Ref. NF-1086,Pix,0.00,,,,,,,,
TRX-01856,2024-06-12,2024-06-24,,21508.54,,Pendente,Pagamento,CT-002,FN-007,Ref. NF-3223,Pix,21508.54,341,,181 a 360 dias,,Muito Crítico,,6,
TRX-01502,2025-04-29,2025-05-03,,28883.47,,Pendente,Pagamento,CT-004,FN-008,Ref. NF-2408,Débito,28883.47,28,,0 a 30 dias,,Normal,,1,
TRX-02116,2024-11-03,2024-11-14,2024-11-14,27103.73,27103.73,Conciliado,Estorno,CT-008,FN-005,Ref. NF-9627,Pix,0.00,,,,,,,,
TRX-00545,2025-03-20,2025-03-25,2025-03-26,44599.28,44599.28,Conciliado,Pagamento,CT-005,FN-010,Ref. NF-9161,Pix,0.00,,,,,,,,
TRX-00646,2024-11-24,2024-11-25,,7146.22,,Pendente,Estorno,CT-008,FN-006,Ref. NF-7797,Ted,7146.22,187,,181 a 360 dias,,Muito Crítico,,6,
TRX-01091,2024-08-09,2024-08-11,2024-08-12,32450.47,32450.47,Conciliado,Pagamento,CT-006,FN-006,Ref. NF-3376,Ted,0.00,,,,,,,,
TRX-00142,2024-07-07,2024-07-13,2024-07-14,30047.03,30047.03,Conciliado,Recebimento,CT-005,FN-001,Ref. NF-3793,Pix,0.00,,,,,,,,
TRX-01802,2024-04-13,2024-04-22,2024-04-22,25871.66,25871.66,Conciliado,Estorno,CT-007,FN-001,Ref. NF-5016,Boleto,0.00,,,,,,,,
TRX-02996,2025-04-08,2025-04-15,2025-04-17,25533.15,25533.15,Conciliado,Recebimento,CT-005,FN-003,Ref. NF-7496,Débito,0.00,,,,,,,,
TRX-01897,2024-05-28,2024-05-30,2024-05-30,38078.96,38078.96,Conciliado,Recebimento,CT-001,FN-010,Ref. NF-5916,Boleto,0.00,,,,,,,,
TRX-02786,2024-06-16,2024-06-24,2024-06-28,36033.08,35475.72,Divergente,Recebimento,CT-004,FN-005,Ref. NF-3897,Pix,557.36,,337,,181 a 360 dias,,Muito Crítico,,6
TRX-02665,2024-05-03,2024-05-04,2024-05-04,1824.18,1824.18,Conciliado,Pagamento,CT-005,FN-001,Ref. NF-9964,Boleto,0.00,,,,,,,,
TRX-01453,2025-04-16,2025-04-19,2025-04-19,15804.84,15804.84,Conciliado,Pagamento,CT-003,FN-002,Ref. NF-4714,Débito,0.00,,,,,,,,
TRX-00273,2024-01-08,2024-01-23,2024-01-25,33999.03,33999.03,Conciliado,Estorno,CT-004,FN-001,Ref. NF-9246,Boleto,0.00,,,,,,,,
TRX-02264,2025-04-14,2025-04-24,2025-04-25,790.25,790.25,Conciliado,Recebimento,CT-001,FN-007,Ref. NF-3052,Boleto,0.00,,,,,,,,
TRX-00168,2024-12-10,2024-12-20,2024-12-22,36353.11,36353.11,Conciliado,Pagamento,CT-004,FN-010,Ref. NF-4113,Pix,0.00,,,,,,,,
TRX-02673,2024-12-02,2024-12-04,2024-12-05,48562.59,48562.59,Conciliado,Pagamento,CT-002,FN-009,Ref. NF-4683,Pix,0.00,,,,,,,,
